ID,Year,Month,Day,kingdom,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
1,1,4,1,Arcadia,25.5,22.52,58.89,8.6,283
2,1,4,1,Atlantis,299.65,22.73,11.83,15.8,161
3,1,4,1,Avalon,26.3,22.73,11.83,15.8,161
4,1,4,1,Camelot,24,22.67,75.27,6.4,346
5,1,4,1,Dorne,28,22.35,4.81,16.7,185
6,1,4,1,Eden,26.4,21.53,66.17,10,234
7,1,4,1,El Dorado,298.55,21.16,16.77,8.7,188
8,1,4,1,Elysium,26.3,21.53,66.17,10,234
9,1,4,1,Emerald City,299.55,21.27,40.43,12,214
10,1,4,1,Helios,25.9,22.52,58.89,8.6,283
11,1,4,1,Krypton,299.65,21.53,66.17,10,234
12,1,4,1,Metropolis,26.5,21.27,40.43,12,214
13,1,4,1,Midgar,27.2,23.39,25.87,12.1,262
14,1,4,1,Midgard,25.2,23.15,54.73,6.1,276
15,1,4,1,Mordor,26.7,22.39,4.68,15.3,147
16,1,4,1,Neo-City,26.4,21.27,40.43,12,214
17,1,4,1,Neo-Tokyo,26.4,21.27,40.43,12,214
18,1,4,1,Nirvana,299.45,22.73,11.83,15.8,161
19,1,4,1,Olympus,299.35,21.53,66.17,10,234
20,1,4,1,Pandora,299.65,21.53,66.17,10,234
21,1,4,1,Rapture,299.55,21.53,66.17,10,234
22,1,4,1,Rivendell,293.75,22.56,25.35,4.7,149
23,1,4,1,Serenity,299.65,21.27,40.43,12,214
24,1,4,1,Shangri-La,26.5,21.27,40.43,12,214
25,1,4,1,Solara,299.45,21.27,40.43,12,214
26,1,4,1,Solstice,27.4,22.34,3.38,17.4,172
27,1,4,1,Sunspear,28.5,23.46,2.34,21.1,168
28,1,4,1,Utopia,299.85,21.53,66.17,10,234
29,1,4,1,Valyria,27.2,21.17,3.12,16.4,186
30,1,4,1,Winterfell,23,21.87,11.31,10.5,167
31,1,4,2,Arcadia,25.8,24.29,16.77,9.4,257
32,1,4,2,Atlantis,300.85,25.62,1.56,10.1,166
33,1,4,2,Avalon,27.2,25.62,1.56,10.1,166
34,1,4,2,Camelot,23.8,23.03,50.05,8.1,25
35,1,4,2,Dorne,28.2,22.57,1.04,15.2,258
36,1,4,2,Eden,27,24.03,2.99,9.2,212
37,1,4,2,El Dorado,298.85,23.64,7.15,7.6,185
38,1,4,2,Elysium,26.9,24.03,2.99,9.2,212
39,1,4,2,Emerald City,300.15,23.62,2.6,10.2,205
40,1,4,2,Helios,26.1,24.29,16.77,9.4,257
41,1,4,2,Krypton,300.15,24.03,2.99,9.2,212
42,1,4,2,Metropolis,27.1,23.62,2.6,10.2,205
43,1,4,2,Midgar,27.6,24.6,5.46,11.6,243
44,1,4,2,Midgard,25.2,23.34,39.78,9.2,236
45,1,4,2,Mordor,27.2,24.88,4.55,11.2,177
46,1,4,2,Neo-City,26.9,23.62,2.6,10.2,205
47,1,4,2,Neo-Tokyo,27,23.62,2.6,10.2,205
48,1,4,2,Nirvana,300.45,25.62,1.56,10.1,166
49,1,4,2,Olympus,299.95,24.03,2.99,9.2,212
50,1,4,2,Pandora,300.25,24.03,2.99,9.2,212
51,1,4,2,Rapture,300.15,24.03,2.99,9.2,212
52,1,4,2,Rivendell,293.85,23.15,29.38,3.3,87
53,1,4,2,Serenity,300.15,23.62,2.6,10.2,205
54,1,4,2,Shangri-La,27,23.62,2.6,10.2,205
55,1,4,2,Solara,300.05,23.62,2.6,10.2,205
56,1,4,2,Solstice,27.8,24.56,0.91,13,189
57,1,4,2,Sunspear,28.6,22.55,1.04,15.6,238
58,1,4,2,Utopia,300.45,24.03,2.99,9.2,212
59,1,4,2,Valyria,27.5,25.43,3.9,14,196
60,1,4,2,Winterfell,23,24.37,10.4,9.9,227
61,1,4,3,Arcadia,26,23.33,8.19,9.4,252
62,1,4,3,Atlantis,301.45,24.46,6.5,14,329
63,1,4,3,Avalon,27.5,24.46,6.5,14,329
64,1,4,3,Camelot,24.3,22.68,3.64,8.6,279
65,1,4,3,Dorne,29.2,25.4,0,18.4,253
66,1,4,3,Eden,27.2,23.33,11.7,11,233
67,1,4,3,El Dorado,298.65,23.32,11.83,11.9,2
68,1,4,3,Elysium,27.1,23.33,11.7,11,233
69,1,4,3,Emerald City,300.25,23.6,9.62,12.7,238
70,1,4,3,Helios,26.3,23.33,8.19,9.4,252
71,1,4,3,Krypton,300.35,23.33,11.7,11,233
72,1,4,3,Metropolis,27.3,23.6,9.62,12.7,238
73,1,4,3,Midgar,28.3,24.21,3.12,10.2,249
74,1,4,3,Midgard,25.6,23.65,3.9,8.3,273
75,1,4,3,Mordor,27.3,21.98,7.67,9.3,298
76,1,4,3,Neo-City,27.1,23.6,9.62,12.7,238
77,1,4,3,Neo-Tokyo,27.1,23.6,9.62,12.7,238
78,1,4,3,Nirvana,300.75,24.46,6.5,14,329
79,1,4,3,Olympus,299.95,23.33,11.7,11,233
80,1,4,3,Pandora,300.45,23.33,11.7,11,233
81,1,4,3,Rapture,300.15,23.33,11.7,11,233
82,1,4,3,Rivendell,294.15,21.36,17.16,6.5,3
83,1,4,3,Serenity,300.35,23.6,9.62,12.7,238
84,1,4,3,Shangri-La,27.2,23.6,9.62,12.7,238
85,1,4,3,Solara,300.25,23.6,9.62,12.7,238
86,1,4,3,Solstice,28.1,26.21,0.78,11.7,215
87,1,4,3,Sunspear,29.7,24.19,0,21.2,245
88,1,4,3,Utopia,300.55,23.33,11.7,11,233
89,1,4,3,Valyria,27.4,24.88,3.25,11.2,233
90,1,4,3,Winterfell,23.3,20.23,22.23,4.8,354
91,1,4,4,Arcadia,26.7,23.35,0.91,10.4,247
92,1,4,4,Atlantis,301.75,25.26,4.29,13.5,312
93,1,4,4,Avalon,27.7,25.26,4.29,13.5,312
